Airline,FlightNumber,Origin,Op. days,Equipment,Service type,Seats,Departure time,Hub time,Arrival time,Seats,Service type,Equipment,Op. days,Arrival,FlightNumber,Airline
6E,164,NMI,1234567,32N,J,1302,22:30:00,00:05:00,,,,,,,,
IX,1542,LKO,1234567,7M8,J,1134,21:25:00,00:05:00,,,,,,,,
IX,1070,DEL,1234567,7M8,J,1134,21:15:00,00:10:00,,,,,,,,
CX,623,HKG, 2 4  7,333,J,786,20:55:00,00:10:00,,,,,,,,
CX,623,HKG,1 3 56 ,359,J,840,20:55:00,00:10:00,,,,,,,,
6E,499,VNS,1234567,32Q,J,1624,21:15:00,00:10:00,,,,,,,,
JL,753,NRT, 2  5 7,788,J,558,18:55:00,00:15:00,,,,,,,,
,,,,,,,,00:15:00,03:10:00,164,J,32N,4,DEL,2758,AI
,,,,,,,,00:15:00,03:10:00,984,J,32N,123 567,DEL,2758,AI
6E,5388,BOM,1234567,32Q,J,1540,22:10:00,00:20:00,,,,,,,,
9I,548,GOI,2,AT7,J,70,22:50:00,00:25:00,,,,,,,,
AI,2412,DEL,1234567,32N,J,1148,21:30:00,00:25:00,,,,,,,,
,,,,,,,,00:30:00,06:10:00,860,J,739,12 4 6 ,DMK,217,SL
SG,555,BOM,1234567,73J,J,1484,22:30:00,00:30:00,,,,,,,,
LH,764,MUC,2,359,J,293,12:05:00,00:30:00,,,,,,,,
LH,764,MUC,1 3 5 7,359,J,1068,12:05:00,00:30:00,,,,,,,,
6E,573,CCU,1234567,32Q,J,1624,22:00:00,00:40:00,,,,,,,,
,,,,,,,,00:40:00,07:30:00,1218,J,73H,1234567,KUL,193,MH
6E,691,TRV,7,32Q,J,232,23:25:00,00:45:00,,,,,,,,
6E,691,TRV,12,32Q,J,464,23:25:00,00:45:00,,,,,,,,
IX,1382,CCU,1234567,7M8,J,1232,22:05:00,00:45:00,,,,,,,,
6E,691,TRV,  3 5  ,32Q,J,464,23:25:00,00:45:00,,,,,,,,
6E,691,TRV,6,32Q,J,232,23:25:00,00:45:00,,,,,,,,
6E,691,TRV,4,32Q,J,232,23:25:00,00:45:00,,,,,,,,
QP,1350,DEL,1234567,7M8,J,1295,21:55:00,00:50:00,,,,,,,,
6E,901,GOI,3,32Q,J,232,23:30:00,00:50:00,,,,,,,,
6E,901,GOI,4,32Q,J,232,23:30:00,00:50:00,,,,,,,,
6E,901,GOI,7,32Q,J,232,23:30:00,00:50:00,,,,,,,,
6E,901,GOI, 2  5  ,32Q,J,464,23:30:00,00:50:00,,,,,,,,
6E,901,GOI,6,32Q,J,232,23:30:00,00:50:00,,,,,,,,
,,,,,,,,00:50:00,10:20:00,1302,J,32N,1234567,DPS,1605,6E
6E,846,DEL,1234567,32Q,J,1540,22:00:00,00:55:00,,,,,,,,
,,,,,,,,00:55:00,06:20:00,2260,J,359,1234567,BKK,326,TG
6E,949,HYD,7,32Q,J,232,23:40:00,01:00:00,,,,,,,,
,,,,,,,,01:00:00,02:50:00,880,J,32Q, 23 5 7,BOM,5293,6E
6E,949,HYD,5,32Q,J,232,23:40:00,01:00:00,,,,,,,,
6E,949,HYD,2,32Q,J,232,23:40:00,01:00:00,,,,,,,,
9I,519,HYD,5,AT7,J,70,23:05:00,01:00:00,,,,,,,,
6E,949,HYD,4,32Q,J,232,23:40:00,01:00:00,,,,,,,,
,,,,,,,,01:00:00,02:50:00,660,J,32Q,1  4 6 ,BOM,5293,6E
6E,906,LKO,1234567,32Q,J,1624,22:20:00,01:00:00,,,,,,,,
6E,949,HYD,6,32Q,J,232,23:40:00,01:00:00,,,,,,,,
,,,,,,,,01:00:00,03:50:00,880,J,32Q,12 4 6 ,DEL,839,6E
,,,,,,,,01:00:00,03:50:00,660,J,32Q,  3 5 7,DEL,839,6E
,,,,,,,,01:05:00,04:50:00,1302,J,32N,1234567,JED,77,6E
,,,,,,,,01:05:00,02:35:00,1624,J,32Q,1234567,PNQ,6563,6E
,,,,,,,,01:10:00,03:20:00,186,J,32N,2,AMD,6779,6E
,,,,,,,,01:10:00,07:45:00,1272,J,781, 23 5 7,AMS,0880,KL
,,,,,,,,01:10:00,03:20:00,186,J,32N,7,AMD,6779,6E
QP,1985,BOM,4,7M8,J,185,23:20:00,01:10:00,,,,,,,,
,,,,,,,,01:10:00,03:20:00,372,J,32N,1    6 ,AMD,6779,6E
6E,996,AMD,1234567,32Q,J,1624,22:45:00,01:10:00,,,,,,,,
,,,,,,,,01:10:00,03:20:00,186,J,32N,3,AMD,6779,6E
,,,,,,,,01:10:00,03:20:00,186,J,32N,   4  7,AMD,6779,6E
,,,,,,,,01:10:00,03:20:00,186,J,32N,5,AMD,6779,6E
,,,,,,,,01:15:00,09:30:00,280,J,359,1 3 56 ,HKG,624,CX
,,,,,,,,01:15:00,09:50:00,786,J,333, 2 4  7,HKG,624,CX
,,,,,,,,01:15:00,09:50:00,840,J,359,1 3 56 ,HKG,624,CX
,,,,,,,,01:20:00,03:50:00,1302,J,32N,1234567,AUH,1419,6E
LH,754,FRA,1234567,744,J,2597,12:50:00,01:20:00,,,,,,,,
,,,,,,,,01:25:00,08:05:00,324,J,359, 2  5  ,CDG,191,AF
,,,,,,,,01:25:00,08:05:00,324,J,359, 23 56 ,CDG,191,AF
,,,,,,,,01:25:00,08:45:00,224,J,332,1  4  7,CDG,191,AF
,,,,,,,,01:25:00,08:45:00,896,J,332,1 34 67,CDG,191,AF
6E,6055,PNQ,1234567,32Q,J,1624,23:50:00,01:30:00,,,,,,,,
AI,2857,BOM,1234567,32N,J,1148,23:30:00,01:35:00,,,,,,,,
IX,2681,PNQ,12 4 6 ,7M8,J,704,00:05:00,01:40:00,,,,,,,,
