Airline,FlightNumber,Origin,Op. days,Equipment,Service type,Seats,Departure time,Hub time,Arrival time,Seats,Service type,Equipment,Op. days,Arrival,FlightNumber,Airline
"VS","302","LHR","1234567","351","J","2779","10:40:00","00:05:00","","","","","","","",""
"IX","1042","GAU","1234567","7M8","J","1232","21:15:00","00:05:00","","","","","","","",""
"","","","","","","","","00:05:00","05:40:00","1131","J","330","  3 5 7","HAN","972","VJ"
"","","","","","","","","00:05:00","10:40:00","1554","J","788"," 234567","ICN","312","AI"
"","","","","","","","","00:05:00","06:35:00","1508","J","330","12 4 6 ","SGN","896","VJ"
"","","","","","","","","00:05:00","02:20:00","2415","J","77W","1234567","CCU","173","AI"
"AI","162","LHR","1234567","359","J","2212","09:45:00","00:10:00","","","","","","","",""
"KC","963","ALA","1234 67","320","J","888","20:15:00","00:10:00","","","","","","","",""
"AI","1802","VTZ","1234567","32N","J","1260","21:30:00","00:10:00","","","","","","","",""
"","","","","","","","","00:15:00","02:45:00","247","J","763","1      ","TAS","426","HY"
"","","","","","","","","00:15:00","01:50:00","1624","J","32Q","1234567","AMD","6261","6E"
"","","","","","","","","00:15:00","03:10:00","1148","J","32N","1234567","BLR","2757","AI"
"6E","6512","STV","1234567","32Q","J","1624","22:30:00","00:20:00","","","","","","","",""
"AI","1804","PNQ","123456 ","32N","J","180","22:00:00","00:25:00","","","","","","","",""
"AI","1854","GOX","1234567","32N","J","1260","21:50:00","00:25:00","","","","","","","",""
"6E","5304","ATQ","1234567","32Q","J","1624","23:10:00","00:25:00","","","","","","","",""
"AI","1804","PNQ","1 3   7","32N","J","360","22:00:00","00:25:00","","","","","","","",""
"TG","335","BKK","     6 ","320","J","156","21:25:00","00:25:00","","","","","","","",""
"AI","1804","PNQ"," 2 456 ","32N","J","540","22:00:00","00:25:00","","","","","","","",""
"6E","2413","GOX","1234567","32Q","J","1624","22:00:00","00:25:00","","","","","","","",""
"6E","651","BOM","12 4 6 ","32Q","J","220","22:15:00","00:30:00","","","","","","","",""
"AI","2389","SGN","1234567","32N","J","1148","20:55:00","00:30:00","","","","","","","",""
"6E","651","BOM","1234567","32Q","J","1320","22:15:00","00:30:00","","","","","","","",""
"AI","1828","COK","1234567","32N","J","1148","21:05:00","00:30:00","","","","","","","",""
"IX","2764","GOX","1234567","320","J","1624","21:45:00","00:30:00","","","","","","","",""
"AI","2710","CCU","1 3    ","32N","J","164","22:00:00","00:35:00","","","","","","","",""
"6E","6480","LKO","1234567","32N","J","1302","23:20:00","00:35:00","","","","","","","",""
"AI","2710","CCU","1234567","32N","J","164","22:00:00","00:35:00","","","","","","","",""
"AI","2710","CCU"," 2 4567","32N","J","656","22:00:00","00:35:00","","","","","","","",""
"AI","480","ATQ","1234567","321","J","1274","23:20:00","00:35:00","","","","","","","",""
"AI","2838","MAA","   4   ","32N","J","164","21:40:00","00:40:00","","","","","","","",""
"IX","1065","BBI","1234567","320","J","1624","22:10:00","00:40:00","","","","","","","",""
"AI","2838","MAA","123 567","32N","J","984","21:40:00","00:40:00","","","","","","","",""
"","","","","","","","","00:40:00","09:15:00","564","J","321","    567","SIN","2118","AI"
"6E","6972","IDR","1234567","32N","J","1302","23:15:00","00:45:00","","","","","","","",""
"AI","2244","RUH","1 3 5 7","32N","J","656","17:25:00","00:45:00","","","","","","","",""
"AI","2546","AMD","1234567","32N","J","1148","23:00:00","00:45:00","","","","","","","",""
"6E","2382","COK","  3    ","32N","J","186","21:30:00","00:45:00","","","","","","","",""
"6E","2382","COK","12 4567","32N","J","1116","21:30:00","00:45:00","","","","","","","",""
"6E","6406","BLR","1 34 6 ","32Q","J","880","22:00:00","00:50:00","","","","","","","",""
"6E","6406","BLR"," 2  5 7","32Q","J","660","22:00:00","00:50:00","","","","","","","",""
"","","","","","","","","00:50:00","06:25:00","1968","J","772","12 4567","CDG","283","AF"
"AI","2026","FRA","1 34 67","77W","J","1312","12:10:00","00:50:00","","","","","","","",""
"6E","5190","CCU","  3 5 7","32Q","J","660","22:30:00","00:55:00","","","","","","","",""
"6E","2409","CJB","1234567","32Q","J","1624","22:00:00","00:55:00","","","","","","","",""
"LH","760","FRA","1234567","789","J","1722","13:20:00","00:55:00","","","","","","","",""
"6E","5190","CCU","12 4 6 ","32Q","J","880","22:30:00","00:55:00","","","","","","","",""
"AI","2814","BLR","1 3    ","32N","J","164","22:00:00","00:55:00","","","","","","","",""
"AI","2814","BLR","1234567","32N","J","164","22:00:00","00:55:00","","","","","","","",""
"AI","2814","BLR"," 2 4567","32N","J","656","22:00:00","00:55:00","","","","","","","",""
"6E","1902","ATH"," 2  5 7","32Q","J","585","14:25:00","00:55:00","","","","","","","",""
"AI","2986","BOM","1 3    ","32N","J","164","22:35:00","01:00:00","","","","","","","",""
"AI","2986","BOM","1234567","32N","J","164","22:35:00","01:00:00","","","","","","","",""
"AI","2986","BOM"," 2 4567","32N","J","656","22:35:00","01:00:00","","","","","","","",""
"IX","1264","STV","12 4 6 ","320","J","720","22:50:00","01:00:00","","","","","","","",""
"AI","1880","HYD","1234567","32N","J","1148","22:30:00","01:00:00","","","","","","","",""
"","","","","","","","","01:05:00","06:40:00","472","J","77W","  3    ","CDG","283","AF"
"6E","951","MAA","12 4 6 ","32Q","J","880","22:10:00","01:05:00","","","","","","","",""
"6E","951","MAA","  3 5 7","32Q","J","660","22:10:00","01:05:00","","","","","","","",""
"","","","","","","","","01:05:00","06:20:00","1652","J","333","1234567","ZRH","147","LX"
"","","","","","","","","01:05:00","04:00:00","1540","J","32Q","1234567","BLR","6054","6E"
"6E","5008","GOI","1234567","32Q","J","1624","22:30:00","01:10:00","","","","","","","",""
"","","","","","","","","01:10:00","09:20:00","736","J","77W","12  5  ","HKG","694","CX"
"","","","","","","","","01:10:00","09:20:00","1120","J","359","  34 67","HKG","694","CX"
"AZ","0770","FCO","12 4567","339","J","291","13:55:00","01:10:00","","","","","","","",""
"AZ","0770","FCO"," 2 4567","339","J","1164","13:55:00","01:10:00","","","","","","","",""
"6E","6631","VTZ","1234567","32Q","J","1624","22:45:00","01:10:00","","","","","","","",""
"","","","","","","","","01:10:00","03:55:00","888","J","320","1234 67","ALA","964","KC"
"6E","6436","NAG","1234567","32N","J","1302","23:25:00","01:10:00","","","","","","","",""
